Landeswährung;CRNCY/USD_31.03.2020;CRNCY/USD_30.06.2020;CRNCY/USD_30.09.2020;CRNCY/USD_31.12.2020;CRNCY/USD_04.01.2021
AUD;0.6141;0.6877;0.7140;0.7708;0.7699
CAD;0.7057;0.7330;0.7483;0.7848;0.7857
CHF;1.0386;1.0530;1.0856;1.1332;1.1343
CLP;0.0012;0.0012;0.0013;0.0014;0.0014
CNY;0.1411;0.1414;0.1470;0.1531;0.1546
COP;0.0002;0.0003;0.0003;0.0003;0.0003
CZK;0.0402;0.0420;0.0432;0.0467;0.0468
DKK;0.1473;0.1507;0.1575;0.1648;0.1648
EUR;1.1001;1.1229;1.1725;1.2265;1.2264
GBP;1.2375;1.2327;1.2872;1.3650;1.3634
HUF;0.0031;0.0032;0.0032;0.0034;0.0034
ILS;0.2815;0.2891;0.2910;0.3112;0.3116
ISK;0.0071;0.0072;0.0072;0.0079;0.0079
JPY;0.0093;0.0093;0.0095;0.0097;0.0097
KRW;0.0008;0.0008;0.0009;0.0009;0.0009
LVL;1.5652;1.5977;1.6683;1.7451;1.7451
MXN;0.0420;0.0433;0.0449;0.0503;0.0504
NOK;0.0955;0.1033;0.1063;0.1170;0.1172
NZD;0.5974;0.6427;0.6599;0.7214;0.7195
PLN;0.2416;0.2522;0.2587;0.2683;0.2695
SEK;0.0999;0.1071;0.1114;0.1220;0.1218
SGD;0.7023;0.7170;0.7313;0.7565;0.7583
TRY;0.1518;0.1459;0.1288;0.1349;0.1351
TWD;0.0330;0.0340;0.0345;0.0356;0.0356
USD;1.0000;1.0000;1.0000;1.0000;1.0000
